"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1991_2020_Average","Percent_NRCS_1991_2020_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_of_Average_Water_Year_Peak_POR","Percent_of_Median_Water_Year_Peak_POR","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1991_2020_Average_inches","NRCS_1991_2020_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Daniel Fish Hatchery","2242	","Wyoming","ACIS","Sublette","7340","42.91666","-110.13333","140401010701	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"6","4","0","16","1994, 1998, 2017","1996","32"
"Daniels-Strawberry","435	","Utah","SNOTEL","Wasatch","8008","40.2953","-111.25677","140600040101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","12",,,"63","67","75","23","24","-6","12","23","4",,,,"19","18","6","44","2017","1996","26"
"Darkhorse Lake","436	","Montana","SNOTEL","Beaverhead","8945","45.17367","-113.58448","100200040301	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","32",,,"80","80","100","33","33","-8","16","17","4",,,,"40","40","22","55","2002, 2011","2007","20"
"Deadman Creek","437	","Montana","SNOTEL","Meagher","6450","46.79279","-110.67545","100301030401	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","5",,,"36","36","100","11","11","-9","0","19","1","Lowest",,,"14","14","5","28","2021","2005","19"
"Deadman Hill","438	","Colorado","SNOTEL","Larimer","10220","40.80571","-105.76993","101900070502	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","23",,,"82","79","85","22","28","-6","33","13","3",,,,"28","29","19","34","2012, 2014","2019","19"
"Deadwood Summit","439	","Idaho","SNOTEL","Valley","6860","44.54514","-115.5638","170501200401	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"43","41","24","80","2009","2012","19"
"Deer Park","923	","Wyoming","SNOTEL","Fremont","9700","42.59076","-108.90273","100800030101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","12",,,"57","60","80","19","19","-8","9","22","2","2nd Lowest",,,"21","20","11","42","2007","2004","24"
"Defiance Mines","1210	","Nevada","SNOTEL","White Pine","9302","39.08527","-114.89977","160600081002	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","12",,,"109","109","86","24","25","1","56","5","6",,,,"11","11","0","19","2017","2013","10"
"Derr.","440	","Oregon","SNOTEL","Wheeler","5850","44.4465","-119.93012","170703040401	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"13","11","2","30","2017","2015","16"
"Diamond Lake","442	","Oregon","SNOTEL","Douglas","5280","43.18787","-122.14003","171003010204	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","22",,,"220","275","100","47","43","14","94","2","17","2nd Highest",,,"10","8","0","40","2007","2015","18"
"Diamond Peak","443	","Nevada","SNOTEL","Eureka","8017","39.56361","-115.84421","160600051503	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","4",,,"57","57","44","15","14","-3","22","15","4",,,,"7","7","1","11","2017","2007, 2015","19"
"Dills Camp","444	","Utah","SNOTEL","Sanpete","9228","39.04554","-111.46875","140700020201	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","7",,,"47","44","70","15","15","-9","11","17","2","2nd Lowest",,,"15","16","0","27","2017","2004","19"
"Disaster Peak","445	","Nevada","SNOTEL","Humboldt","6260","41.96737","-118.18934","160402010201	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"6","5","0","21","2011, 2017","2019","17"
"Dismal Swamp","446	","California","SNOTEL","Modoc","7360","41.99127","-120.18033","171200070304	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","17",,,"71","71","100","20","21","-7","33","11","6",,,,"24","24","8","41","2007","2015","16"
"Divide","448	","Montana","SNOTEL","Madison","7800","44.79317","-112.05645","100200030102	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","10",,,"67","67","77","23","24","-5","26","18","6",,,,"15","15","6","24","2020","2000, 2010","24"
"Divide Peak","449	","Wyoming","SNOTEL","Carbon","8880","41.30398","-107.15241","140500030203	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","14",,,"44","56","70","16","20","-11","11","17","2","2nd Lowest",,,"32","25","11","193","2014","2007","19"
"Dollarhide Summit","450	","Idaho","SNOTEL","Blaine","8420","43.6025","-114.67417","170402190201	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","37",,,"128","132","100","46","47","9","86","4","20",,,,"29","28","14","50","2008, 2011","2015","23"
"Dome Lake","451	","Wyoming","SNOTEL","Sheridan","8880","44.57462","-107.29537","100901010102	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","13",,,"76","76","93","23","23","-4","17","16","3",,,,"17","17","10","27","2015","2008","19"
"Dome Mountain","1A19P	","British Columbia","Cooperator Snow Sensors","	","5801","53.61667","-121.01667","	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"31","36","0","56","2006, 2007, 2009","2019","14"
"Donkey Reservoir","452	","Utah","SNOTEL","Wayne","9799","38.2084","-111.47412","140700030305	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","6",,,"50","60","75","16","16","-4","17","16","3",,,,"12","10","0","29","2017","2004","19"
"Dorsey Basin","453	","Nevada","SNOTEL","Elko","7903","40.89343","-115.21104","160401010604	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","4",,,"29","33","67","8","9","-8","5","21","2","2nd Lowest",,,"14","12","3","26","2008","2001","22"
"Draw Creek","454	","Nevada","SNOTEL","Elko","7332","41.661","-115.3234","160401010403	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"12","12","4","25","2008, 2017","2019","19"
"Dry Bread Pond","455	","Utah","SNOTEL","Cache","8302","41.41289","-111.5377","160102030101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","9",,,"41","39","90","12","14","-14","0","25","1","Lowest",,,"22","23","9","36","2021","2019","25"
"Dry Creek","1243	","Nevada","SNOTEL","Elko","6555","40.8638","-115.22014","160401010601	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","1",,,"20","20","33","5","6","-4","0","9","1","Lowest",,,"5","5","1","9","2021","2015","9"
"Dry Fork","906	","Utah","SNOTEL","Salt Lake","7093","40.56533","-112.17343","160202040106	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","6",,,"40","43","75","11","11","-8","0","18","1","Lowest",,,"15","14","6","30","2021","2019","18"
"Dry Lake","457	","Colorado","SNOTEL","Routt","8400","40.53397","-106.7813","140500010409	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","21",,,"78","75","78","30","30","-7","29","16","6",,,,"27","28","14","39","1998, 2012, 2017","2005","22"
"Dungeness","943	","Washington","SNOTEL","Clallam","4010","47.87224","-123.0788","171100200301	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","14",,,"175","280","100","36","40","9","74","7","18",,,,"8","5","0","22","2014, 2018","2015","24"
"Dupuyer Creek","458	","Montana","SNOTEL","Teton","5750","48.06341","-112.7573","100302010501	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","9",,,"112","100","75","24","25","0","60","9","11",,,,"8","9","0","20","2017","2019","21"
"EF Blacks Fork GS","1163	","Utah","SNOTEL","Summit","9360","40.88472","-110.54056","140401070302	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","0",,,"0","0","0","0","0","-13","0","12","1","Lowest",,,"13","13","0","23","2021","2019","12"
"Eagle Lake","2192	","California","SCAN","Lassen","5134","40.6175","-120.72472","180800030305	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","4",,,"200","200","100","44","44","2","100","1","4","Highest",,,"2","2","1","4","2014","2021","4"
"Eagle Summit","960	","Alaska","SNOTEL","Yukon-Koyukuk","3650","65.48588","-145.41212","190804010801	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"19","8","2","76","2001","2003","21"
"East Boulder Mine","1105	","Montana","SNOTEL","Sweet Grass","6335","45.50381","-110.08019","100700020701	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","1",,,"17","17","12","3","4","-5","0","14","1","Lowest",,,"6","6","1","11","2021","2010","14"
"East Palmer","953	","Alaska","SNOTEL","Matanuska-Susitna","230","61.59858","-149.09637","190204020709	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","8",,,"133","133","100","50","50","2","100","1","2","2nd Lowest",,,"6","6","3","8","2020","2021","2"
"East Rim Divide","460	","Wyoming","SNOTEL","Sublette","7930","43.13097","-110.2023","170401030203	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","4",,,"24","22","80","8","9","-14","0","11","1","Lowest",,,"17","18","4","23","2021","2013, 2016","11"
"East Willow Creek","461	","Utah","SNOTEL","Grand","8302","39.31213","-109.53179","140600060205	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","11",,,"100","100","73","30","31","0","56","9","9",,,,"11","11","0","26","2017","2009","19"
"Easy Pass","998	","Washington","SNOTEL","Whatcom","5270","48.85933","-121.43895","171100010101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","71",,,"139","158","100","33","33","26","80","2","5","2nd Highest",,,"51","45","23","91","2014","2012","6"
"Ebbetts Pass","462	","California","SNOTEL","Alpine","8661","38.5497","-119.80468","160502010104	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","32",,,"110","107","100","31","32","2","62","9","14",,,,"29","30","4","53","2011","2019","22"
"Echo Lake","936	","Colorado","SNOTEL","Clear Creek","10600","39.65627","-105.59345","101900020801	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","1",,,"9","10","25","2","2","-9","4","23","1","Lowest",,,"11","10","1","20","2012, 2021","2015, 2019","24"
"Echo Peak","463	","California","SNOTEL","El Dorado","7653","38.849","-120.0795","160501010303	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","29",,,"112","104","100","28","30","1","58","9","12",,,,"26","28","3","46","2008, 2011","2004, 2019","20"
"Eilertson Meadows","464	","Oregon","SNOTEL","Baker","5510","44.86887","-118.11387","170502030404	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","16",,,"178","160","100","44","47","6","89","3","17",,,,"9","10","1","20","2014, 2017","2016","19"
"El Diente Peak","465	","Colorado","SNOTEL","Dolores","10000","37.78617","-108.02155","140300020202	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","16",,,"84","94","84","23","29","-1","33","15","6",,,,"19","17","1","41","2017","2009","22"
"Elbow Lake","910	","Washington","SNOTEL","Whatcom","3040","48.69092","-121.90893","171100040401	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","36",,,"133","150","100","32","32","12","74","7","17",,,,"27","24","0","72","2014","1996","24"
"Elk Butte","466	","Idaho","SNOTEL","Clearwater","5690","46.83998","-116.12233","170603080701	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"32","26","13","70","2014","2001","22"
"Elk Cabin","921	","New Mexico","SNOTEL","Santa Fe","8210","35.7043","-105.80675","130202010102	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","2",,,"67","67","67","4","14","-1","25","16","4",,,,"3","3","0","7","2010, 2017","2009, 2015","21"
"Elk Peak","1106	","Montana","SNOTEL","Meagher","7600","46.4845","-110.7125","100402010203	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","6",,,"32","32","75","8","9","-13","8","13","1","Lowest",,,"19","19","6","34","2016, 2021","2012","14"
"Elk Peak SC","536	","Montana","SNOLITE","Meagher","8000","46.47642","-110.72065","100301030104	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","5",,,"36","33","83","9","9","-10","0","3","1","Lowest",,,"14","15","5","23","2021","2019","3"
"Elk River","467	","Colorado","SNOTEL","Routt","8700","40.84781","-106.96871","140500010206	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","19",,,"86","86","73","24","29","-3","37","13","6",,,,"22","22","12","34","2014","2019","20"
"Elkhart Park G.S.","468	","Wyoming","SNOTEL","Sublette","9400","43.00657","-109.75893","140401020103	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","8",,,"50","53","100","17","18","-7","0","7","1","Lowest",,,"16","15","8","21","2021","2016","7"
"Elkhead Divide","1252	","Colorado","SNOTEL","Routt","8780","40.79649","-107.10122","140500010601	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","19",,,"90","95","79","28","27","-1","40","4","3",,,,"21","20","12","35","2017","2019","6"
"Elliot Ridge","1120	","Colorado","SNOTEL","Summit","10520","39.864","-106.4246","140100020602	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","16",,,"80","76","80","21","23","-5","17","11","3",,,,"20","21","9","31","2017","2019","13"
"Emery Creek","469	","Montana","SNOTEL","Flathead","4350","48.43412","-113.93725","170102090703	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","14",,,"88","100","100","27","28","0","50","10","7",,,,"16","14","8","29","2011","2010","19"
"Emigrant Springs","470	","Oregon","SNOTEL","Umatilla","3800","45.55808","-118.45383","170701030501	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","8",,,"133","200","100","31","33","4","80","5","16",,,,"6","4","0","17","2004, 2019","2001, 2016","21"
"Emigrant Summit","471	","Idaho","SNOTEL","Bear Lake","7390","42.36055","-111.56085","160102020206	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","6",,,"29","33","75","8","8","-12","0","20","1","Lowest",,,"21","18","6","39","2021","2010","20"
"Esther Island","1071	","Alaska","SNOTEL","Valdez-Cordova","50","60.798","-148.0857","190202011605	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","39",,,"355","488","95","91","81","31","100","1","7","Highest",,,"11","8","0","39","2013, 2017, 2019","2021","7"
"Evening Star","472	","Wyoming","SNOTEL","Park","9200","44.65258","-109.78422","100700060301	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","29",,,"72","72","100","31","33","-11","0","19","1","Lowest",,,"40","40","29","54","2021","2010","19"
"Exit Glacier","1092	","Alaska","SNOTEL","Kenai Peninsula","400","60.19033","-149.62117","190202020508	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"11","10","0","30","2019","2020","10"
"Fallen Leaf","473	","California","SNOTEL","El Dorado","6242","38.93403","-120.0545","160501010401	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","12",,,"240","300","100","34","38","8","86","4","19",,,,"5","4","0","19","2014, 2016, 2017, more","2001","22"
"Farmington","474	","Utah","SNOTEL","Davis","7902","40.97462","-111.80975","160201020502	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","24",,,"71","77","83","24","25","-7","29","18","7",,,,"34","31","13","63","2017","2004","25"
"Farmington Lower","1054	","Utah","SNOTEL","Davis","6779","40.992","-111.81702","160201020502	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","9",,,"47","47","64","13","15","-10","17","16","2","2nd Lowest",,,"19","19","5","36","2012","2003","19"
"Farnsworth Lake","475	","Utah","SNOTEL","Sevier","9623","38.77246","-111.67662","160300030405	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","22",,,"73","85","85","26","30","-4","28","19","5",,,,"30","26","9","142","2017","1996","26"
"Farson 2NNE","3170	","Wyoming","ACIS","Sweetwater","6590","42.11666","-109.43333","140401040306	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"2","1","0","8","2014, 2015, 2017, more","1982","43"
"Fawn Creek","476	","Nevada","SNOTEL","Elko","7031","41.82098","-116.10153","170501040304	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","7",,,"44","44","100","13","13","-9","16","17","2","2nd Lowest",,,"16","16","6","30","2007","2015","20"
"Fernie","2850	","British Columbia","ACIS","	","3290","49.5","-115.05","170101060804	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"9","6","0","29","1988, 2013, 2014","1996","29"
"Fielding Lake","1268	","Alaska","SNOTEL","Valdez-Cordova","3000","63.20267","-145.6305","190803040302	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","17",,,"85","94","89","40","41","-1","43","5","3",,,,"20","18","6","38","2016","2019","8"
"Finley Corrals AM","1274	","Oregon","SNOLITE","Lake","5950","42.45988","-120.78508","180102020402	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"17","18","9","21","2017","2015, 2016","6"
"Fish Ck","1305	","Idaho","SNOTEL","Blaine","6330","43.55542","-113.71924","170402210401	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","18",,,"100","100","100",,,"0",,"1","1",,,,"18","18","18","18","2021","2021","1"
"Fish Creek","477	","Oregon","SNOTEL","Harney","7660","42.70992","-118.6321","171200030107	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"26","28","12","43","2011","2001, 2010","24"
"Fish Lake","478	","Washington","SNOTEL","Kittitas","3430","47.53565","-121.08553","170300010102	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","28",,,"108","117","100","31","32","4","67","8","14",,,,"26","24","7","56","2014","2003","22"
"Fish Lake Utah","1149	","Utah","SNOTEL","Sevier","8798","38.50455","-111.76693","140700030108	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","2",,,"29","33","33","6","6","-4","27","9","2","2nd Lowest",,,"7","6","0","17","2017","2019","12"
"Fish Lk.","479	","Oregon","SNOTEL","Jackson","4660","42.3801","-122.34943","171003070801	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","10",,,"111","111","100","24","23","1","67","6","11",,,,"9","9","0","28","2014","2015","16"
"Fisher Creek","480	","Montana","SNOTEL","Park","9100","45.06235","-109.94488","100700060202	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","38",,,"83","84","100","34","33","-7","17","20","4",,,,"46","45","29","71","2002","2012","24"
"Five Points Lake","481	","Utah","SNOTEL","Duchesne","10943","40.71785","-110.46721","140600030701	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","16",,,"67","70","89","24","26","-7","10","19","2","2nd Lowest",,,"24","23","14","42","2007","2004","21"
"Flattop Mtn.","482	","Montana","SNOTEL","Flathead","6300","48.80225","-113.85713","170102070501	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","46",,,"92","94","98","34","33","-3","40","13","9",,,,"50","49","28","69","2017","2012","21"
"Flower Mountain","1285	","Alaska","SNOTEL","Haines","2510","59.39617","-136.28123","190103031206	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","47",,,"127","142","92","53","57","14","75","2","4","2nd Highest",,,"37","33","23","54","2017","2020","5"
"Fontenelle Dam","3396	","Wyoming","ACIS","Lincoln","6480","41.98333","-110.06666","140401030602	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"1","0","0","8","2014, 2017, 2018, more","1992","32"
"Fool Creek","1186	","Colorado","SNOTEL","Grand","11150","39.8687","-105.8675","140100010203	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","21",,,"81","81","100","29","28","-5","20","9","3",,,,"26","26","19","40","2012, 2014","2019","11"
"Forestdale Creek","1049	","California","SNOTEL","Alpine","8017","38.68245","-119.9597","160502010301	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"28","27","8","51","2011","2019","18"
"Fort Valley","1121	","Arizona","SNOTEL","Coconino","7350","35.26806","-111.74486","150200150102	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","2",,,"100","100","50","13","13","0","62","6","8",,,,"2","2","0","11","2016, 2017, 2020, more","2009","14"
"Fort Yukon","961	","Alaska","SNOTEL","Yukon-Koyukuk","430","66.5705","-145.24553","190705062100	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","8",,,"73","80","100","40","40","-2","25","13","4",,,,"11","10","3","16","2016","2004, 2010, 2011","17"
"Fourmile Lake","483	","Oregon","SNOTEL","Klamath","5970","42.43933","-122.2288","180102030202	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","17",,,"71","85","100","22","20","-3","35","16","9",,,,"24","20","6","58","2014","2001","24"
"Franklin Basin","484	","Idaho","SNOTEL","Franklin","8140","42.0505","-111.6012","160102020501	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","14",,,"47","50","88","16","18","-14","0","26","1","Lowest",,,"30","28","14","58","2021","1996","26"
"Fredonyer Peak","1277	","California","SNOTEL","Lassen","7208","40.68799","-120.60805","180800030304	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","16",,,"178","160","100","38","50","6","100","1","6","Highest",,,"9","10","0","16","2017","2021","6"
"Fremont Pass","485	","Colorado","SNOTEL","Summit","11400","39.37991","-106.19681","140100020301	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","24",,,"92","92","86","25","32","-2","47","9","8",,,,"26","26","15","40","2012","2019","16"
"Frisco Divide","486	","New Mexico","SNOTEL","Catron","8000","33.73646","-108.94502","150400040303	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"3","2","0","17","2017, 2018, 2020, more","2011","19"
"Frohner Meadow","487	","Montana","SNOTEL","Jefferson","6480","46.43545","-112.19277","100301011305	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","7",,,"64","58","100","20","22","-5","16","17","4",,,,"11","12","3","15","2004","2009","20"
"Frostbite Bottom","641	","Alaska","SNOTEL","Matanuska-Susitna","2700","61.74722","-149.2688","190205051202	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","25",,,"89","100","93","34","34","0","50","2","2",,,,"28","25","22","37","2020","2019","3"
"Fry","488	","Arizona","SNOTEL","Coconino","7200","35.07297","-111.84374","150602020501	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","2",,,"40","67","67","7","7","-1","44","11","8",,,,"5","3","0","21","2014, 2017, 2020, more","2011","19"
"Fry Canyon","1262	","Nevada","SNOTEL","Elko","6798","41.57022","-115.93645","160401020101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","1",,,"17","14","50","5","6","-6","14","7","2","2nd Lowest",,,"6","7","0","12","2014","2018","8"
"GBRC HQ","1221	","Utah","SNOTEL","Sanpete","8801","39.32019","-111.48827","160300040307	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","7",,,"58","50","70","13","15","-7","22","8","2","2nd Lowest",,,"12","14","0","19","2017","2013","10"
"GBRC Meadows","1222	","Utah","SNOTEL","Sanpete","9858","39.30229","-111.45383","160300040307	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","14",,,"78","74","74","21","23","-5","11","9","2","2nd Lowest",,,"18","19","8","25","2017","2013, 2018","10"
"Galena","489	","Idaho","SNOTEL","Blaine","7470","43.87722","-114.6725","170402190101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","30",,,"130","150","100","48","48","10","88","3","15",,,,"23","20","13","43","2008, 2009","2012","17"
"Galena AK","429	","Alaska","SNOTEL","Yukon-Koyukuk","410","64.69662","-156.71497","190902051104	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","14",,,"100","100","88","45","45","0","67","2","3","2nd Highest",,,"14","14","12","16","2018","2019","4"
"Galena Summit","490	","Idaho","SNOTEL","Blaine","8780","43.87497","-114.71363","170402190101	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","41",,,"137","146","100","55","59","13","92","3","23",,,,"30","28","18","66","2011, 2020","1996","26"
"Gallegos Peak","491	","New Mexico","SNOTEL","Taos","9800","36.19446","-105.55795","130201010502	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","2",,,"14","14","67","4","5","-12","5","20","2","2nd Lowest",,,"14","14","0","23","2017","2015","21"
"Garden City Summit","1114	","Utah","SNOTEL","Cache","7705","41.9215","-111.4693","160102010106	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","7",,,"33","35","88","12","12","-13","0","13","1","Lowest",,,"21","20","7","36","2021","2019","13"
"Gardner Peak","1066	","Utah","SNOTEL","Washington","8322","37.40083","-113.45988","150100080701	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","5",,,"42","42","71","10","10","-7","18","15","4",,,,"12","12","0","24","2017","2019","18"
"Garfield R.S.","492	","Idaho","SNOTEL","Blaine","6560","43.6104","-113.9308","170402210301	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"8","9","1","11","2017","2019","4"
"Garita Peak","1173	","New Mexico","SNOTEL","Rio Arriba","10160","36.005","-106.54838","130202020201	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","2",,,"25","33","50","7","7","-4","20","5","2","2nd Lowest",,,"8","6","0","17","2017","2019","6"
"Garver Creek","918	","Montana","SNOTEL","Lincoln","4250","48.97523","-115.81915","170101030202	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","15",,,"115","107","100","38","38","1","79","5","14",,,,"13","14","7","20","2014, 2019","2003, 2006","20"
"George Creek","1151	","Utah","SNOTEL","Box Elder","8964","41.91562","-113.41154","170402100401	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","22",,,"100","110","96","31","31","2","73","4","8",,,,"22","20","12","39","2020","2019","12"
"Gerber Reservoir","945	","Oregon","SNOTEL","Klamath","4890","42.2062","-121.1334","180102040508	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","2",,,"100","200","100","20","20","1","74","7","16",,,,"2","1","0","10","2017, 2019, 2020, more","2001","24"
"Giveout","493	","Idaho","SNOTEL","Bear Lake","6930","42.4132","-111.1663","160102010401	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","2",,,"20","22","100","5","5","-7","17","6","1","Lowest",,,"10","9","2","18","2017, 2021","2019","7"
"Glacial Ridge","2050	","Minnesota","SCAN","Polk","1125","47.71667","-96.26667","090203030503	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"8","2","0","59","2009, 2014, 2015, more","2018","12"
"Glen Cove","1057	","Colorado","SNOTEL","Teller","11460","38.87583","-105.07367","110200030201	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST",,,,,,,,,,,,,,,,"5","5","0","17","2017","2005","17"
"Gobblers Knob","962	","Alaska","SNOTEL","Yukon-Koyukuk","2030","66.745","-150.6675","190901020403	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","2",,,"50","50","29","14","14","-2","33","11","6",,,,"4","4","0","15","2007, 2014","2013","16"
"Golconda","1195	","Nevada","SNOTEL","Humboldt","6616","40.88358","-117.58812","160401080102	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","3",,,"60","75","75","13","15","-1","20","9","2","2nd Lowest",,,"5","4","1","10","2014","2018","11"
"Gold Axe Camp","1159	","Washington","SNOTEL","Okanogan","5360","48.9516","-118.9864","170200021204	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","6",,,"60","60","100","16","16","-4","18","10","3",,,,"10","10","3","18","2014","2012","12"
"Gold Basin","1304	","Utah","SNOTEL","San Juan","10076","38.46516","-109.26332","140300050401	","December 13, 2021, end of day ","12-14-2021, 01:52 PM MST","26",,,"100","100","84",,,"0",,"1","1",,,,"26","26","26","26","2021","2021","1"
