"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1991_2020_Average","Percent_NRCS_1991_2020_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_of_Average_Water_Year_Peak_POR","Percent_of_Median_Water_Year_Peak_POR","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1991_2020_Average_inches","NRCS_1991_2020_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Arbuckle Mtn","304	","Oregon","SNOTEL","Morrow","5770","45.19085","-119.25392","170702020604	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"18","20","33","4","4","-8","6","18","2","2nd Lowest",,,"11","10","0","23","2008","2005","19"
"Ash Valley","2214	","California","SCAN","Lassen","5097","41.05204","-120.6872","180200021404	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"0","0","0","0","2016, 2017, 2020, more","2016, 2017, 2020, more","5"
"Ashley Divide","1165	","Montana","SNOLITE","Flathead","4820","48.20161","-114.51495","170102080108	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","3",,,"100","100","100","10","10","0","50","3","3",,,,"3","3","2","4","2017, 2019","2018, 2020","5"
"Atigun Pass","957	","Alaska","SNOTEL","North Slope","4800","68.12983","-149.47817","190802010102	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","22",,,"79","76","81","44","42","-7","15","12","3",,,,"28","29","17","39","2014","2019","14"
"Atlanta Summit","306	","Idaho","SNOTEL","Elmore","7580","43.7569","-115.23907","170501110204	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","13",,,"50","59","68","14","15","-9","12","23","4",,,,"26","22","7","55","2008","2001","26"
"Azure","1E08P	","British Columbia","Cooperator Snow Sensors","	","5331","52.58333","-119.71667","	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"52","53","23","76","2010","1999","16"
"Badger Pass","307	","Montana","SNOTEL","Pondera","6900","48.13088","-113.02317","100302010201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","17",,,"59","47","94","19","19","-19","29","16","7",,,,"29","36","0","48","1999","2009","22"
"Baker Butte","308	","Arizona","SNOTEL","Gila","7300","34.4566","-111.40643","150602030206	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0",,,"0","0","0","58","9","1","Lowest",,,"3","0","0","14","2017, 2020, 2021, more","2011","20"
"Baker Butte Smt","1140	","Arizona","SNOTEL","Coconino","7700","34.45547","-111.38272","150602030103	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"6","4","0","21","2014, 2017, 2020, more","2011","12"
"Bald Mtn AM","1240	","Nevada","SNOLITE","Washoe","6720","41.78333","-119.61667","160402040101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0",,"0","0","0","0","75","2","1","Lowest",,,"1","0","0","5","2019, 2020, 2021, more","2018","5"
"Bald Mtn AM OR","447	","Oregon","SNOLITE","Union","6700","45.21158","-117.6626","170601040504	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","9",,,"60","56","64","8","8","-7","0","4","1","Lowest",,,"15","16","9","20","2021","2020","4"
"Bald Mtn.","309	","Wyoming","SNOTEL","Big Horn","9380","44.8007","-107.84442","100800100501	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","24",,,"89","86","100","32","35","-4","39","12","7",,,,"27","28","10","36","2015","2013","19"
"Baldy","310	","Arizona","SNOTEL","Apache","9125","33.97883","-109.50344","150200010203	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"67","100","100","4","6","0","53","10","10",,,,"3","2","0","15","2015, 2017, 2020, more","2019","20"
