"Name","ID","State","Network","County","Elevation_ft","Latitude","Longitude","HUC","Date_of_Data","Date_Report_Created","Value_inches","Percent_NRCS_1991_2020_Average","Percent_NRCS_1991_2020_Median","Percent_of_POR_Average","Percent_of_POR_Median","Percent_of_Water_Year_Peak","Percent_of_Average_Water_Year_Peak_POR","Percent_of_Median_Water_Year_Peak_POR","POR_Median_Departure_inches","Percentile_POR","Maximum_Rank_POR","Minimum_Rank_POR","Records_POR","NRCS_1991_2020_Average_inches","NRCS_1991_2020_Median_inches","POR_Average_inches","POR_Median_inches","Minimum_POR_inches","Maximum_POR_inches","Year_of_Minimum_POR","Year_of_Maximum_POR","Number_of_Observations_POR"
"Eagle Lake","2192	","California","SCAN","Lassen","5134","40.6175","-120.72472","180800030305	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"0","0","0","0","2016, 2018, 2019, more","2016, 2018, 2019, more","4"
"Eagle Summit","960	","Alaska","SNOTEL","Yukon-Koyukuk","3650","65.48588","-145.41212","190804010801	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","12",,,"120","120","67","57","75","2","76","5","12",,,,"10","10","3","24","2007","2015","18"
"East Boulder Mine","1105	","Montana","SNOTEL","Sweet Grass","6335","45.50381","-110.08019","100700020701	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-6","15","12","1","Lowest",,,"6","6","0","14","2008, 2012, 2021","2010","14"
"East Palmer","953	","Alaska","SNOTEL","Matanuska-Susitna","230","61.59858","-149.09637","190204020709	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","5",,,"125","125","71","31","31","1","100","1","2","2nd Lowest",,,"4","4","2","5","2020","2021","2"
"East Rim Divide","460	","Wyoming","SNOTEL","Sublette","7930","43.13097","-110.2023","170401030203	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"14","15","67","4","4","-11","0","11","1","Lowest",,,"14","13","2","22","2021","2014","11"
"East Willow Creek","461	","Utah","SNOTEL","Grand","8302","39.31213","-109.53179","140600060205	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-8","17","16","1","Lowest",,,"8","8","0","16","2014, 2017, 2021, more","2004, 2013","19"
"Easy Pass","998	","Washington","SNOTEL","Whatcom","5270","48.85933","-121.43895","171100010101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","30",,,"79","115","73","14","14","4","60","3","4",,,,"38","26","8","91","2008","2012","6"
"Ebbetts Pass","462	","California","SNOTEL","Alpine","8661","38.5497","-119.80468","160502010104	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-18","5","21","1","Lowest",,,"21","18","0","53","2006, 2021","2019","22"
"Echo Lake","936	","Colorado","SNOTEL","Clear Creek","10600","39.65627","-105.59345","101900020801	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"6","10","25","2","2","-9","4","23","2","2nd Lowest",,,"17","10","0","179","2012","2007","24"
"Echo Peak","463	","California","SNOTEL","El Dorado","7653","38.849","-120.0795","160501010303	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-16","11","18","1","Lowest",,,"17","16","0","46","2007, 2008, 2021","2010","20"
"Eilertson Meadows","464	","Oregon","SNOTEL","Baker","5510","44.86887","-118.11387","170502030404	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"17","20","25","3","3","-4","28","14","2","2nd Lowest",,,"6","5","0","15","2012","2005, 2010","19"
"El Diente Peak","465	","Colorado","SNOTEL","Dolores","10000","37.78617","-108.02155","140300020202	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-13","5","21","1","Lowest",,,"13","13","0","25","2017, 2021","2001","22"
"Elbow Lake","910	","Washington","SNOTEL","Whatcom","3040","48.69092","-121.90893","171100040401	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","4",,,"20","21","31","4","4","-15","28","19","7",,,,"20","19","0","51","2008, 2018, 2019, more","2006","26"
"Elk Butte","466	","Idaho","SNOTEL","Clearwater","5690","46.83998","-116.12233","170603080701	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","7",,,"30","33","64","7","6","-14","9","21","3",,,,"23","21","4","56","2008","2001","23"
"Elk Cabin","921	","New Mexico","SNOTEL","Santa Fe","8210","35.7043","-105.80675","130202010102	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"100","100","100","4","14","0","60","9","10",,,,"2","2","0","8","2014, 2015, 2017, more","2004","21"
"Elk Peak","1106	","Montana","SNOTEL","Meagher","7600","46.4845","-110.7125","100402010203	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"13","12","29","3","3","-14","8","13","1","Lowest",,,"15","16","2","24","2008, 2021","2010","14"
"Elk Peak SC","536	","Montana","SNOLITE","Meagher","8000","46.47642","-110.72065","100301030104	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"17","14","50","4","4","-12","0","3","1","Lowest",,,"12","14","2","21","2021","2019","3"
"Elk River","467	","Colorado","SNOTEL","Routt","8700","40.84781","-106.96871","140500010206	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","4",,,"17","22","67","5","6","-14","0","20","1","Lowest",,,"23","18","4","154","2021","2002","20"
"Elkhart Park G.S.","468	","Wyoming","SNOTEL","Sublette","9400","43.00657","-109.75893","140401020103	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","4",,,"33","31","80","9","9","-9","0","7","1","Lowest",,,"12","13","4","19","2021","2018","7"
"Elkhead Divide","1252	","Colorado","SNOTEL","Routt","8780","40.79649","-107.10122","140500010601	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","5",,,"31","36","100","7","7","-9","0","6","1","Lowest",,,"16","14","5","26","2021","2019","6"
"Elliot Ridge","1120	","Colorado","SNOTEL","Summit","10520","39.864","-106.4246","140100020602	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","8",,,"50","50","89","10","11","-8","17","11","1","Lowest",,,"16","16","8","30","2009, 2017, 2021","2013","13"
"Emery Creek","469	","Montana","SNOTEL","Flathead","4350","48.43412","-113.93725","170102090703	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","7",,,"58","70","70","13","14","-3","22","15","5",,,,"12","10","2","24","2015","2013","19"
"Emigrant Springs","470	","Oregon","SNOTEL","Umatilla","3800","45.55808","-118.45383","170701030501	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"40","67","100","8","8","-1","45","12","10",,,,"5","3","0","19","2018, 2019, 2020, more","2010","21"
"Emigrant Summit","471	","Idaho","SNOTEL","Bear Lake","7390","42.36055","-111.56085","160102020206	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","4",,,"27","29","67","6","6","-10","5","19","1","Lowest",,,"15","14","4","38","2014, 2021","2005","20"
"Esther Island","1071	","Alaska","SNOTEL","Valdez-Cordova","50","60.798","-148.0857","190202011605	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","38",,,"543","1,900","93","88","79","36","100","1","8","Highest",,,"7","2","0","38","2013, 2018, 2019","2021","8"
"Evening Star","472	","Wyoming","SNOTEL","Park","9200","44.65258","-109.78422","100700060301	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","17",,,"50","49","85","18","19","-18","0","19","1","Lowest",,,"34","35","17","54","2021","2017","19"
"Exit Glacier","1092	","Alaska","SNOTEL","Kenai Peninsula","400","60.19033","-149.62117","190202020508	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"7","6","1","18","2018","2020","10"
"Fallen Leaf","473	","California","SNOTEL","El Dorado","6242","38.93403","-120.0545","160501010401	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-2","33","15","1","Lowest",,,"4","2","0","20","2012, 2014, 2021, more","2001","22"
"Farmington","474	","Utah","SNOTEL","Davis","7902","40.97462","-111.80975","160201020502	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","9",,,"36","38","75","9","9","-15","0","25","1","Lowest",,,"25","24","9","54","2021","2001","25"
"Farmington Lower","1054	","Utah","SNOTEL","Davis","6779","40.992","-111.81702","160201020502	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-14","0","19","1","Lowest",,,"13","14","0","27","2021","2018","19"
"Farnsworth Lake","475	","Utah","SNOTEL","Sevier","9623","38.77246","-111.67662","160300030405	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","12",,,"44","55","100","14","16","-10","8","24","2","2nd Lowest",,,"27","22","9","137","2017","1996","26"
"Farson 2NNE","3170	","Wyoming","ACIS","Sweetwater","6590","42.11666","-109.43333","140401040306	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"2","1","0","9","2012, 2014, 2020, more","1955","46"
"Fawn Creek","476	","Nevada","SNOTEL","Elko","7031","41.82098","-116.10153","170501040304	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"18","18","33","4","4","-9","11","18","3",,,,"11","11","0","23","2008","2015, 2018","20"
"Fernie","2850	","British Columbia","ACIS","	","3290","49.5","-115.05","170101060804	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"7","6","0","35","2008, 2015, 2019, more","1980","32"
"Fielding Lake","1268	","Alaska","SNOTEL","Valdez-Cordova","3000","63.20267","-145.6305","190803040302	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"21","18","5","39","2016","2019","7"
"Finley Corrals AM","1274	","Oregon","SNOLITE","Lake","5950","42.45988","-120.78508","180102020402	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"10","10","4","15","2019","2018","6"
"Fish Ck","1305	","Idaho","SNOTEL","Blaine","6330","43.55542","-113.71924","170402210401	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"100","100","33",,,"0",,"1","1",,,,"1","1","1","1","2021","2021","1"
"Fish Creek","477	","Oregon","SNOTEL","Harney","7660","42.70992","-118.6321","171200030107	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","13",,,"72","81","93","14","15","-3","33","17","7",,,,"18","16","7","41","2002, 2007","2010","25"
"Fish Lake","478	","Washington","SNOTEL","Kittitas","3430","47.53565","-121.08553","170300010102	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"19","20","0","40","2002","2003","21"
"Fish Lake Utah","1149	","Utah","SNOTEL","Sevier","8798","38.50455","-111.76693","140700030108	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-6","9","11","1","Lowest",,,"7","6","0","16","2017, 2021","2019","12"
"Fish Lk.","479	","Oregon","SNOTEL","Jackson","4660","42.3801","-122.34943","171003070801	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-6","20","13","1","Lowest",,,"6","6","0","22","2012, 2014, 2021, more","2010","16"
"Fisher Creek","480	","Montana","SNOTEL","Park","9100","45.06235","-109.94488","100700060202	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","17",,,"44","45","81","15","15","-21","0","24","1","Lowest",,,"39","38","17","61","2021","2005, 2017","24"
"Five Points Lake","481	","Utah","SNOTEL","Duchesne","10943","40.71785","-110.46721","140600030701	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","10",,,"53","56","71","15","16","-8","10","19","3",,,,"19","18","7","36","2007","2004","21"
"Flattop Mtn.","482	","Montana","SNOTEL","Flathead","6300","48.80225","-113.85713","170102070501	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","22",,,"51","48","85","16","16","-24","5","20","2","2nd Lowest",,,"43","46","19","61","2008","2001","21"
"Flower Mountain","1285	","Alaska","SNOTEL","Haines","2510","59.39617","-136.28123","190103031206	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","43",,,"130","154","84","49","52","15","75","2","4","2nd Highest",,,"33","28","10","57","2018","2020","5"
"Fontenelle Dam","3396	","Wyoming","ACIS","Lincoln","6480","41.98333","-110.06666","140401030602	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"1","0","0","6","2014, 2017, 2020, more","2019","34"
"Fool Creek","1186	","Colorado","SNOTEL","Grand","11150","39.8687","-105.8675","140100010203	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","18",,,"82","75","95","25","24","-6","30","8","2","2nd Lowest",,,"22","24","11","30","2012","2018","11"
"Forestdale Creek","1049	","California","SNOTEL","Alpine","8017","38.68245","-119.9597","160502010301	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-14","6","18","1","Lowest",,,"19","14","0","49","2007, 2021","2010","19"
"Fort Valley","1121	","Arizona","SNOTEL","Coconino","7350","35.26806","-111.74486","150200150102	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"50",,"50","7","7","1","69","5","9",,,,"2","0","0","8","2016, 2017, 2020, more","2019","14"
"Fort Yukon","961	","Alaska","SNOTEL","Yukon-Koyukuk","430","66.5705","-145.24553","190705062100	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"9","8","3","16","2016","2010","16"
"Fourmile Lake","483	","Oregon","SNOTEL","Klamath","5970","42.43933","-122.2288","180102030202	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-13","4","23","1","Lowest",,,"16","13","0","54","2008, 2021","1998","24"
"Franklin Basin","484	","Idaho","SNOTEL","Franklin","8140","42.0505","-111.6012","160102020501	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","7",,,"30","37","58","8","9","-12","0","26","1","Lowest",,,"23","19","7","49","2021","2001","26"
"Fredonyer Peak","1277	","California","SNOTEL","Lassen","7208","40.68799","-120.60805","180800030304	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-4","20","5","1","Lowest",,,"4","4","0","8","2017, 2021","2020","6"
"Fremont Pass","485	","Colorado","SNOTEL","Summit","11400","39.37991","-106.19681","140100020301	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","19",,,"90","90","95","20","26","-2","20","13","4",,,,"21","21","8","33","2012","2018","16"
"Frisco Divide","486	","New Mexico","SNOTEL","Catron","8000","33.73646","-108.94502","150400040303	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0",,"0","0","0","0","47","11","1","Lowest",,,"2","0","0","8","2018, 2020, 2021, more","2013","20"
"Frohner Meadow","487	","Montana","SNOTEL","Jefferson","6480","46.43545","-112.19277","100301011305	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","4",,,"44","40","100","11","12","-6","5","19","1","Lowest",,,"9","10","4","17","2004, 2021","2005","20"
"Frostbite Bottom","641	","Alaska","SNOTEL","Matanuska-Susitna","2700","61.74722","-149.2688","190205051202	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","24",,,"80","100","89","32","32","0","50","2","2",,,,"30","24","22","43","2020","2019","3"
"Fry","488	","Arizona","SNOTEL","Coconino","7200","35.07297","-111.84374","150602020501	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"4","1","0","15","2014, 2017, 2020, more","2004","18"
"Fry Canyon","1262	","Nevada","SNOTEL","Elko","6798","41.57022","-115.93645","160401020101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"50","50","100","11","12","-2","29","6","2","2nd Lowest",,,"4","4","1","12","2014","2018","8"
"GBRC HQ","1221	","Utah","SNOTEL","Sanpete","8801","39.32019","-111.48827","160300040307	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"11","12","0","23","2017","2018","9"
"GBRC Meadows","1222	","Utah","SNOTEL","Sanpete","9858","39.30229","-111.45383","160300040307	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","7",,,"47","50","70","10","12","-7","0","10","1","Lowest",,,"15","14","7","31","2021","2018","10"
"Galena","489	","Idaho","SNOTEL","Blaine","7470","43.87722","-114.6725","170402190101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","10",,,"56","62","71","16","16","-6","12","15","3",,,,"18","16","5","45","2008","2012","17"
"Galena AK","429	","Alaska","SNOTEL","Yukon-Koyukuk","410","64.69662","-156.71497","190902051104	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"12","10","10","15","2018, 2020","2019","3"
"Galena Summit","490	","Idaho","SNOTEL","Blaine","8780","43.87497","-114.71363","170402190101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","19",,,"79","90","73","26","27","-2","33","17","7",,,,"24","21","12","46","2008","2012","25"
"Gallegos Peak","491	","New Mexico","SNOTEL","Taos","9800","36.19446","-105.55795","130201010502	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"11","11","33","2","2","-8","5","20","2","2nd Lowest",,,"9","9","0","18","2017","2011, 2013","21"
"Garden City Summit","1114	","Utah","SNOTEL","Cache","7705","41.9215","-111.4693","160102010106	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"6","7","12","2","2","-14","0","13","1","Lowest",,,"17","15","1","30","2021","2010","13"
"Gardner Peak","1066	","Utah","SNOTEL","Washington","8322","37.40083","-113.45988","150100080701	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-8","6","17","1","Lowest",,,"10","8","0","27","2017, 2021","2019","18"
"Garfield R.S.","492	","Idaho","SNOTEL","Blaine","6560","43.6104","-113.9308","170402210301	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"25","33","33","2","3","-2","25","4","1","Lowest",,,"4","3","1","8","2017, 2021","2018","5"
"Garita Peak","1173	","New Mexico","SNOTEL","Rio Arriba","10160","36.005","-106.54838","130202020201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-4","20","5","1","Lowest",,,"4","4","0","11","2017, 2021","2019","6"
"Garver Creek","918	","Montana","SNOTEL","Lincoln","4250","48.97523","-115.81915","170101030202	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","3",,,"30","30","50","8","8","-7","5","19","2","2nd Lowest",,,"10","10","0","19","2008","2006","20"
"George Creek","1151	","Utah","SNOTEL","Box Elder","8964","41.91562","-113.41154","170402100401	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","18",,,"95","100","90","25","26","0","55","6","6",,,,"19","18","9","31","2020","2010","12"
"Gerber Reservoir","945	","Oregon","SNOTEL","Klamath","4890","42.2062","-121.1334","180102040508	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0",,,"0","0","0","52","12","1","Lowest",,,"2","0","0","11","2017, 2020, 2021, more","2001","24"
"Giveout","493	","Idaho","SNOTEL","Bear Lake","6930","42.4132","-111.1663","160102010401	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"14","12","50","3","3","-7","0","7","1","Lowest",,,"7","8","1","15","2021","2018","7"
"Glacial Ridge","2050	","Minnesota","SCAN","Polk","1125","47.71667","-96.26667","090203030503	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"4","2","0","22","2002, 2005, 2009","2010","12"
"Glen Cove","1057	","Colorado","SNOTEL","Teller","11460","38.87583","-105.07367","110200030201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"20","25","100","2","3","-3","24","14","2","2nd Lowest",,,"5","4","0","11","2017","2005","18"
"Gobblers Knob","962	","Alaska","SNOTEL","Yukon-Koyukuk","2030","66.745","-150.6675","190901020403	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"25","33","14","7","7","-2","44","10","3",,,,"4","3","0","16","2014, 2015","2019","17"
"Golconda","1195	","Nevada","SNOTEL","Humboldt","6616","40.88358","-117.58812","160401080102	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-3","10","10","1","Lowest",,,"4","3","0","12","2020, 2021","2018","11"
"Gold Axe Camp","1159	","Washington","SNOTEL","Okanogan","5360","48.9516","-118.9864","170200021204	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-8","0","12","1","Lowest",,,"8","8","0","15","2021","2015","12"
"Gold Basin","1304	","Utah","SNOTEL","San Juan","10076","38.46516","-109.26332","140300050401	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","9",,,"100","100","69",,,"0",,"1","1",,,,"9","9","9","9","2021","2021","1"
"Gold Center","494	","Oregon","SNOTEL","Grant","5410","44.7638","-118.3117","170702020202	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"12","10","50","2","3","-9","12","16","1","Lowest",,,"8","10","1","22","2004, 2008, 2021","2005","18"
"Gold Mountain","1256	","Washington","SNOTEL","Ferry","4390","48.18934","-118.4559","170200011703	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-4","29","6","1","Lowest",,,"5","4","0","11","2014, 2019, 2021","2020","8"
"Golden","3210	","British Columbia","ACIS","	","2583","51.3","-116.9833","170200170000	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"4","3","0","16","2009, 2012, 2017, more","2003","37"
"Gooseberry RS","495	","Utah","SNOTEL","Sevier","7944","38.80034","-111.68333","160300030405	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-8","16","17","1","Lowest",,,"7","8","0","16","2017, 2020, 2021, more","2011","20"
"Gooseberry RS Up","1184	","Utah","SNOTEL","Sevier","8396","38.7882","-111.68892","160300030405	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","0",,,"0","0","0","0","0","-13","0","11","1","Lowest",,,"9","13","0","15","2021","2015, 2018, 2019, more","11"
"Government Camp","353402	","Oregon","ACIS","Clackamas","3980","45.3014","-121.7417","170800010201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"18","12","0","70","2002, 2008, 2012, more","2001","69"
"Government Corrals","1250	","Oregon","SNOLITE","Harney","7400","42.04308","-118.3195","171200090201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"9","10","4","13","2017","2018","8"
"Graham Guard Sta.","496	","Idaho","SNOTEL","Elmore","5690","43.9538","-115.27387","170501110303	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"7","12","33","2","2","-7","12","23","4",,,,"14","8","0","82","2004, 2008, 2012","2000","26"
"Grand Targhee","1082	","Wyoming","SNOTEL","Teton","9260","43.77933","-110.92783","170402040202	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","33",,,"70","72","82","25","25","-13","14","13","2","2nd Lowest",,,"47","46","28","67","2008","2017","15"
"Grandview","956	","Alaska","SNOTEL","Kenai Peninsula","1100","60.60832","-149.06313","190203021001	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"24","18","4","49","2018","2009","14"
"Granite Creek","497	","Wyoming","SNOTEL","Teton","6770","43.34298","-110.43495","170401030304	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","3",,,"18","17","60","5","5","-15","0","10","1","Lowest",,,"17","18","3","32","2021","2014","10"
"Granite Crk","963	","Alaska","SNOTEL","Southeast Fairbanks","1240","63.94382","-145.39993","190803031306	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","13",,,"144","162","93","45","65","5","90","3","18",,,,"9","8","2","17","2002","2004, 2019","21"
"Granite Peak","498	","Nevada","SNOTEL","Humboldt","8503","41.67032","-117.56668","160401090601	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","6",,,"40","43","43","9","10","-8","9","21","3",,,,"15","14","0","39","2008","2001","23"
"Grano Creek","2E07P	","British Columbia","Cooperator Snow Sensors","	","6148","49.55","-118.66667","170200020403	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"22","22","11","34","2002, 2008","2001","19"
"Grassy Lake","499	","Wyoming","SNOTEL","Teton","7265","44.12612","-110.83435","170402030202	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","12",,,"40","40","75","12","12","-18","0","20","1","Lowest",,,"30","30","12","60","2021","2005","20"
"Grave Creek","500	","Montana","SNOTEL","Flathead","4300","48.91453","-114.76663","170101010801	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","5",,,"38","42","38","9","9","-7","11","17","3",,,,"13","12","2","30","2008","2013","19"
"Grave Springs","501	","Wyoming","SNOTEL","Natrona","8550","43.46643","-107.23977","100902010103	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","6",,,"60","60","100","15","15","-4","22","15","2","2nd Lowest",,,"10","10","1","18","2020","2013, 2019","19"
"Grayback","1058	","Colorado","SNOTEL","Rio Grande","11620","37.47033","-106.53783","130100020101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","2",,,"20","25","33","3","4","-6","12","16","1","Lowest",,,"10","8","2","25","2016, 2017, 2021","2007","18"
"Green Lake","502	","Washington","SNOTEL","Yakima","5920","46.54741","-121.17093","170300030101	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"19","16","0","45","2008","2001","24"
"Green Mountain","503	","Nevada","SNOTEL","Elko","8185","40.3848","-115.52757","160401030401	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"13","10","0","38","2008, 2009","2001","20"
"Green River","4065	","Wyoming","ACIS","Sweetwater","6090","41.53333","-109.46666","140401030610	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"2","2","0","4","2017, 2020","2018, 2019","4"
"Greenpoint","504	","Oregon","SNOTEL","Hood River","3310","45.62237","-121.70415","170701050603	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST",,,,,,,,,,,,,,,,"6","5","0","26","2008, 2012, 2017","2006","15"
"Grizzly Peak","505	","Colorado","SNOTEL","Summit","11100","39.64631","-105.86973","140100020201	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","17",,,"65","77","94","22","22","-5","38","14","8",,,,"26","22","7","97","2012","2004","22"
"Gros Ventre Summit","506	","Wyoming","SNOTEL","Teton","8750","43.38939","-110.12943","170401020203	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","5",,,"29","31","100","10","10","-11","0","20","1","Lowest",,,"17","16","5","29","2021","2013","20"
"Grouse Camp","507	","Washington","SNOTEL","Kittitas","5390","47.28107","-120.48771","170300010401	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","1",,,"7","7","25","2","2","-13","6","18","2","2nd Lowest",,,"14","14","0","31","2008","2009","19"
"Grouse Creek Divide","964	","Alaska","SNOTEL","Kenai Peninsula","700","60.25965","-149.34228","190203020902	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","20",,,"167","200","100","36","37","10","76","5","14",,,,"12","10","1","25","2018, 2019","2020","18"
"Gulkana River","2222	","Alaska","SNOTEL","Valdez-Cordova","1830","62.40962","-145.37513","190201020604	","December 5, 2021, end of day ","12-06-2021, 01:25 PM MST","5",,,"71","83","100","22","21","-1","33","3","1","Lowest",,,"7","6","5","12","2018, 2021","2020","4"
